Status,Lifeexpectancy,AdultMortality,infantdeaths,Alcohol,percentageexpenditure,Measles,BMI,under-fivedeaths,Polio,Totalexpenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Developing,61.2,278.0,60,1.8,109.7051836,2395,19.5,86,97.0,5.23,96.0,3.4,987.4453967,42486839.0,8.1,7.9,0.53,11.1
Developing,58.6,281.0,10,3.88,40.03344077,1,23.4,14,79.0,11.83,75.0,2.4,232.61732,3662993.0,7.7,7.6,0.394,9.8
Developing,74.6,128.0,3,0.53,110.6779711,195,38.5,4,97.0,4.2,97.0,0.1,1882.27842,2976724.0,7.8,7.6,0.779,12.9
Developing,65.4,28.0,33,0.2,4.259752532,5023,13.9,44,78.0,5.72,75.0,0.2,317.89198,2564287.0,17.6,18.2,0.469,9.4
Developing,73.9,146.0,5,1.69,72.4280894,65,15.6,5,98.0,3.95,99.0,0.1,989.4547732,1983.0,15.4,15.5,0.697,12.7
Developing,71.4,14.0,0,4.19,240.139715,0,23.7,0,94.0,5.6,93.0,0.8,1976.45856,467664.0,8.7,8.7,0.574,11.1
Developing,60.0,356.0,3,5.12,62.11039296,21,29.4,4,81.0,6.99,86.0,15.2,422.51968,279915.0,12.0,12.0,0.578,11.3
Developing,73.6,15.0,13,4.34,941.6464045,0,53.5,15,92.0,7.1,92.0,0.1,5148.422113,45416181.0,2.2,2.0,0.691,12.4
Developing,50.0,42.0,13,4.21,9.758449266,142,21.1,18,49.0,3.44,35.0,3.2,133.494518,3116233.0,8.7,8.7,0.373,10.3
Developing,59.7,272.0,9,3.64,41.91052416,2200,24.5,13,71.0,11.87,7.0,1.8,327.42597,3948125.0,7.4,7.2,0.403,9.6
Developing,48.5,559.0,37,1.18,4.269511381,143,16.6,59,88.0,9.31,87.0,19.3,32.2227274,1384969.0,7.1,7.0,0.387,9.7
Developing,56.4,364.0,48,0.01,63.07890158,760,27.8,73,88.0,4.29,89.0,4.0,1365.34419,21655715.0,5.8,5.8,0.501,10.4
Developing,62.1,263.0,59,1.81,154.2269697,0,2.1,84,94.0,5.49,94.0,3.0,1155.2582,43646629.0,8.0,7.8,0.536,11.1
Developed,78.8,91.0,1,12.05,5160.508378,61,59.8,1,96.0,9.32,95.0,0.1,35589.71295,1421137.0,0.8,0.8,0.88,18.8
Developing,73.2,154.0,3,3.38,302.7045411,0,5.2,3,99.0,6.58,98.0,0.1,1526.497938,5737723.0,1.9,1.8,0.614,11.4
Developed,81.6,55.0,0,10.22,687.5776358,0,58.5,0,96.0,9.12,96.0,0.1,4461.89251,318499.0,0.9,0.9,0.894,18.4
Developing,78.2,62.0,0,0.01,2051.748615,0,26.2,0,99.0,13.73,99.0,0.1,7716.2415,41.0,13.6,13.7,0.693,12.7
Developing,73.0,137.0,1,4.25,20.21822828,2281,48.8,1,92.0,5.25,9.0,0.1,1643.758397,2981259.0,2.0,2.1,0.679,10.9
Developing,72.1,152.0,15,4.5,34.70333523,0,47.4,19,95.0,4.6,94.0,0.4,218.25997,26937738.0,1.3,1.3,0.686,13.3
Developing,67.2,183.0,25,1.54,28.52135777,85,36.4,30,99.0,5.17,98.0,0.3,396.129969,2556765.0,3.3,3.3,0.607,11.3
Developing,61.3,251.0,2,0.17,56.98952474,1,21.1,2,84.0,3.82,83.0,0.1,778.5454199,673252.0,7.2,7.0,0.465,10.3
Developing,68.4,211.0,16,2.53,225.0619956,0,41.1,20,78.0,6.76,77.0,0.3,1568.376276,11924946.0,1.5,1.5,0.546,8.5
Developing,74.8,129.0,55,4.99,10.22840118,30,52.4,66,97.0,4.98,97.0,0.1,672.92113,11719673.0,2.0,1.9,0.694,11.4
Developing,74.0,143.0,44,1.54,421.2956602,16244,53.5,54,85.0,4.95,85.0,0.1,4316.553895,6324121.0,5.3,5.2,0.641,10.7
Developing,48.2,375.0,87,6.35,184.8213446,1014,18.8,138,75.0,3.38,73.0,2.6,2878.837144,2997687.0,9.6,9.6,0.454,7.7
Developing,72.6,144.0,0,3.01,434.7940679,8,72.5,0,57.0,5.7,62.0,0.1,3453.487434,18625.0,0.2,0.2,0.69,12.9
Developing,51.2,391.0,253,0.88,11.59481766,1660,12.3,404,55.0,4.36,3.0,5.0,123.876257,66537331.0,11.9,11.8,0.0,3.9
Developing,60.0,339.0,73,0.01,92.88697859,2027,17.2,109,82.0,7.58,78.0,4.6,647.74741,3636796.0,5.8,5.8,0.477,10.0
Developing,81.7,83.0,3,11.8,683.9190568,14949,6.6,3,99.0,11.33,99.0,0.1,4381.288,65342776.0,0.6,0.6,0.882,16.1
Developing,65.0,254.0,1,0.73,145.5965445,11,16.7,1,95.0,5.28,95.0,0.3,1247.61392,656639.0,17.8,18.6,0.0,9.2
Developed,84.0,76.0,0,12.0,8329.731655,448,54.2,0,83.0,1.6,83.0,0.1,51386.37665,8321496.0,1.7,1.9,0.864,15.1
Developing,73.0,11.0,1,2.19,510.6035166,8,58.6,1,8.0,1.9,8.0,0.1,5253.122599,3359859.0,4.9,4.7,0.0,15.0
Developing,52.1,425.0,74,1.03,53.9502789,267,19.3,108,75.0,5.25,75.0,14.1,422.1461573,22188387.0,3.8,3.7,0.36,8.2
Developed,76.9,11.0,1,12.22,1657.328352,0,5.9,1,96.0,9.1,97.0,0.1,11729.14616,1362722.0,0.8,0.6,0.782,15.7
Developed,79.5,86.0,0,10.25,640.3560918,64,6.9,1,99.0,9.25,98.0,0.1,4443.83131,16257.0,0.8,0.8,0.871,15.8
Developing,66.8,215.0,0,1.18,16.83170578,0,4.4,0,84.0,6.0,84.0,0.1,744.7657423,446769.0,1.3,1.3,0.453,8.0
Developing,56.7,337.0,3,11.89,1500.412635,1190,23.0,4,3.0,4.0,24.0,8.2,21557.6528,138593.0,8.7,8.7,0.583,9.2
Developing,54.0,429.0,82,1.54,46.58195631,9396,18.1,120,69.0,5.91,83.0,15.9,336.3318145,231275.0,3.9,3.8,0.332,7.0
Developing,72.6,177.0,0,9.72,1121.475547,0,34.2,0,99.0,3.38,99.0,0.1,12189.9516,87441.0,5.7,6.1,0.744,13.3
Developing,77.2,84.0,0,4.76,430.8769785,0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2
Developing,75.6,88.0,185,5.79,9.955532032,26883,3.9,216,99.0,5.39,99.0,0.1,777.77594,135738.0,3.8,3.2,0.713,12.7
Developed,78.9,81.0,0,5.89,749.6823382,5,54.6,0,93.0,9.62,93.0,0.1,4361.1538,4538159.0,0.8,0.7,0.916,17.1
Developed,71.6,16.0,1,10.72,25.06262895,8,57.5,1,94.0,7.23,94.0,0.1,1764.97387,89142.0,2.4,2.5,0.713,12.9
Developing,48.0,513.0,30,4.06,36.59114895,568,17.9,48,54.0,11.96,53.0,1.7,249.939542,4957216.0,9.9,1.0,0.306,7.2
Developing,74.5,97.0,266,4.27,39.22509728,131441,26.5,308,99.0,4.59,97.0,0.1,3471.247547,1324655.0,4.5,4.0,0.672,11.9
Developing,76.0,174.0,0,3.3,208.1688437,0,67.4,0,85.0,5.1,86.0,0.1,1631.41727,176582.0,0.2,0.2,0.653,12.1
Developing,66.0,2.0,1300,2.5,0.844186331,56188,15.4,1700,73.0,4.38,74.0,0.2,19.317765,121427132.0,27.0,27.8,0.563,10.5
Developing,78.7,12.0,0,9.89,4508.806185,0,57.6,0,96.0,8.21,98.0,0.1,37636.11173,5228172.0,0.9,0.8,0.869,18.3
Developing,72.6,11.0,1,3.66,91.71154052,662,45.0,1,97.0,6.26,97.0,0.1,1175.788981,38927.0,2.1,2.2,0.656,10.7
Developed,71.9,199.0,0,11.84,253.4022338,3,58.1,0,94.0,6.63,94.0,0.1,16348.53121,2177322.0,2.3,2.4,0.819,16.3
Developed,85.0,74.0,2,11.2,869.790735,1607,6.4,3,94.0,1.93,95.0,0.1,4681.32796,8274983.0,1.1,1.1,0.912,16.8
Developing,59.0,386.0,536,9.3,105.5910629,9960,21.0,848,6.0,4.0,53.0,5.0,1383.893354,1534739.0,12.0,11.9,0.481,9.2
Developing,68.7,223.0,0,0.01,188.7373664,1,21.9,1,97.0,3.7,97.0,0.6,2422.816,752967.0,16.1,16.7,0.581,12.3
Developed,80.0,72.0,2,9.25,2883.334911,9385,56.4,3,96.0,8.23,93.0,0.1,22196.5736,57597.0,0.5,0.5,0.836,15.2
Developing,63.2,231.0,69,0.4,3.824212472,830,15.2,93,86.0,1.97,78.0,0.5,219.782326,47624894.0,13.3,13.6,0.445,7.7
Developed,77.0,89.0,0,14.27,4264.579203,241,52.2,0,84.0,6.6,84.0,0.1,28223.55528,3866243.0,0.3,0.3,0.857,16.4
Developing,71.8,134.0,0,4.26,3.349816965,0,24.3,0,95.0,4.86,95.0,0.8,248.13459,474567.0,8.5,8.5,0.582,11.2
Developing,75.3,131.0,7,3.99,344.7412164,257,51.4,8,85.0,5.92,88.0,0.1,5223.351763,15177355.0,1.3,1.2,0.71,13.2
Developing,57.5,25.0,27,0.29,5.397368532,5839,17.5,50,49.0,4.63,52.0,0.5,473.45338,988452.0,12.3,12.3,0.378,5.2
Developing,59.7,32.0,2,6.47,352.232365,0,29.8,3,44.0,3.48,45.0,11.0,4892.11618,1328146.0,7.5,7.4,0.638,12.3
Developing,66.4,196.0,1200,2.77,57.73359864,31458,15.9,1600,76.0,4.28,79.0,0.2,1345.77153,12398691.0,27.0,27.8,0.569,10.4
Developing,67.8,231.0,1,0.01,253.8285861,0,49.2,2,99.0,4.22,99.0,0.1,4368.82248,2814226.0,2.2,2.3,0.712,14.7
Developing,62.9,234.0,18,1.99,62.21817261,264,13.9,22,82.0,5.84,82.0,1.4,474.2238766,132721.0,11.5,11.6,0.47,10.0
Developing,64.2,234.0,140,0.01,89.95805845,12739,17.2,202,75.0,4.88,77.0,0.6,571.1622759,97366774.0,1.5,1.3,0.435,8.4
Developing,67.3,158.0,185,0.01,4.11469667,9743,12.0,247,88.0,2.62,99.0,0.1,46.7579167,14137489.0,2.1,2.7,0.491,8.1
Developing,77.2,12.0,1,6.95,201.7490628,0,55.6,1,87.0,7.25,85.0,0.1,1589.82713,3772938.0,1.9,1.9,0.765,12.8
Developing,51.5,41.0,61,4.43,41.73629221,23934,21.3,99,61.0,4.7,63.0,7.9,614.6729339,15671927.0,7.5,7.7,0.437,7.1
Developing,73.2,14.0,1,3.96,2.8888979,0,5.1,1,91.0,3.8,89.0,0.1,41.26997,29822.0,2.0,2.1,0.721,12.3
Developing,72.1,163.0,3,6.38,20.68037294,0,42.8,4,96.0,6.7,96.0,0.2,157.145691,5795494.0,2.3,2.2,0.646,12.3
Developing,51.1,355.0,69,8.1,35.95857279,8523,22.1,105,67.0,4.26,77.0,2.3,484.616884,2599834.0,8.6,8.5,0.523,11.4
Developing,79.4,96.0,1,3.42,386.1379123,0,58.5,1,95.0,9.47,95.0,0.1,1569.66631,47641.0,1.7,1.7,0.762,13.7
Developed,84.0,7.0,0,6.61,5948.096777,0,55.4,0,95.0,9.86,95.0,0.1,31996.2172,287523.0,1.0,0.9,0.859,17.2
Developing,72.0,232.0,0,17.31,846.9113071,50,59.9,1,98.0,4.92,98.0,0.1,6519.71753,9473172.0,2.0,2.1,0.787,15.5
Developed,74.4,156.0,0,0.01,1542.635979,36,6.7,0,92.0,5.88,92.0,0.1,15725.1374,1993782.0,2.2,2.2,0.822,16.0
Developed,72.8,18.0,0,12.66,1758.822757,7,6.5,0,92.0,6.86,92.0,0.1,14357.73679,328115.0,2.7,2.8,0.826,16.7
Developing,73.3,165.0,12,6.2,520.7639087,3893,24.6,14,98.0,3.56,98.0,0.4,3972.26475,66195615.0,8.6,8.8,0.687,12.3
Developing,74.5,133.0,9,4.83,759.5380695,0,52.9,12,91.0,4.93,91.0,0.2,5771.565878,29759989.0,1.1,1.1,0.721,13.4
Developing,75.8,19.0,0,0.01,707.144691,0,6.7,0,94.0,6.43,94.0,0.1,7186.429787,62127.0,1.8,1.9,0.799,15.1
Developed,82.4,6.0,1,9.25,423.680459,131,65.4,2,96.0,9.1,96.0,0.1,2921.9342,466245.0,0.6,0.5,0.874,17.5
Developed,75.5,139.0,0,10.88,155.1952076,1,63.6,1,99.0,7.53,99.0,0.1,13613.6147,989382.0,1.7,1.7,0.824,15.4
Developed,79.7,57.0,0,10.69,2443.325028,0,58.3,0,99.0,7.54,99.0,0.1,32233.83942,1124835.0,0.9,1.0,0.847,13.8
Developing,57.4,323.0,14,1.21,41.96145465,120,21.4,21,83.0,5.37,83.0,3.8,487.9238913,652952.0,7.3,7.2,0.449,11.0
Developed,78.0,99.0,1,11.29,320.3177664,0,59.0,1,96.0,8.46,95.0,0.1,2552.3328,1332785.0,0.8,0.8,0.875,18.8
Developing,67.5,183.0,25,0.22,6.19357029,189,15.9,32,93.0,6.41,89.0,0.2,48.7299,2674113.0,16.9,17.4,0.502,10.5
Developing,65.8,173.0,2,0.05,11.75766897,0,14.2,3,7.0,0.37,7.0,0.1,524.8959363,164973.0,11.8,11.8,0.541,11.3
Developed,79.8,75.0,0,12.66,9528.230574,57,57.4,0,93.0,8.64,93.0,0.1,61235.415,4489544.0,0.3,0.2,0.908,17.9
Developed,78.3,95.0,0,11.28,507.306164,44,59.4,1,96.0,9.3,95.0,0.1,3743.95693,1376133.0,0.8,0.8,0.878,18.6
Developing,60.0,23.0,7,0.03,8.594570232,0,21.1,11,58.0,5.26,51.0,1.1,477.476124,279359.0,1.9,1.7,0.443,6.4
Developing,73.9,157.0,2,3.58,366.4841804,0,52.4,3,99.0,8.43,98.0,0.1,1847.19849,5945747.0,1.8,1.7,0.63,11.5
Developing,56.5,449.0,46,7.6,782.5987144,5857,46.4,70,75.0,8.39,76.0,19.0,5888.6284,5255813.11,8.1,9.8,0.622,12.8
Developing,62.7,256.0,1,0.53,229.4410095,28,33.8,2,82.0,9.14,82.0,2.1,1622.637974,896688.0,5.6,5.4,0.464,6.3
Developing,57.7,274.0,27,1.51,0.328418056,12237,12.1,36,62.0,5.87,59.0,2.1,3.685949,12152354.0,11.6,11.9,0.401,7.2
Developing,73.4,15.0,3,5.79,472.1932825,0,47.1,3,84.0,9.42,89.0,0.1,3988.11894,6293783.0,2.1,2.0,0.675,12.3
Developing,47.9,578.0,36,2.46,8.369851529,35,18.0,59,84.0,7.33,83.0,17.6,53.2772217,11731746.0,7.2,7.1,0.456,10.5
Developed,88.0,66.0,2,8.65,4506.255963,135,58.2,2,97.0,8.71,95.0,0.1,31959.26215,57969484.0,0.5,0.5,0.851,15.8
Developing,68.1,166.0,10,0.32,51.9919227,1,37.4,12,97.0,5.98,96.0,0.2,834.5412953,7815949.0,3.7,3.7,0.608,11.1
Developing,46.3,56.0,17,1.54,46.90117916,3,18.6,26,47.0,3.99,51.0,10.0,347.673678,421758.0,9.6,9.6,0.323,6.0
Developing,71.1,171.0,0,6.94,1578.872339,0,46.0,0,94.0,5.93,92.0,0.3,19325.24283,1354493.0,5.8,6.0,0.778,12.7
Developing,61.1,258.0,9,0.01,45.04892458,0,26.1,11,75.0,9.25,76.0,1.1,454.1222236,4286291.0,6.8,6.7,0.419,9.8
Developing,52.7,336.0,3,4.46,14.95451321,0,18.3,4,41.0,2.73,34.0,1.9,172.68491,614323.0,1.7,1.6,0.0,0.0
Developing,73.8,13.0,0,5.38,595.7306923,0,56.5,0,9.0,8.1,9.0,0.1,4383.59597,61525.0,2.2,2.2,0.751,13.2
Developing,64.2,286.0,2,0.01,1.117811275,1,36.8,2,96.0,5.84,95.0,2.8,77.625783,212857.0,7.0,6.7,0.693,12.6
Developing,51.9,434.0,77,1.63,3.847602867,11304,14.7,120,77.0,4.62,8.0,16.9,41.7763612,32321482.0,9.0,9.0,0.447,8.4
Developing,54.4,36.0,5,3.22,21.53374936,0,2.7,8,74.0,5.87,71.0,5.6,418.94454,1412669.0,8.9,8.8,0.388,8.3
Developing,64.0,267.0,38,0.81,23.72796328,35558,15.4,58,74.0,4.89,78.0,0.6,245.1235876,1782997.0,8.2,8.1,0.466,8.7
Developing,67.5,278.0,16,12.04,161.7301654,27,56.6,18,98.0,6.22,98.0,0.3,11635.2637,14274235.0,2.3,2.5,0.769,13.9
Developing,52.6,378.0,24,5.72,11.22655347,2,13.8,38,76.0,7.1,83.0,4.8,127.4296648,7182451.0,8.4,8.4,0.279,5.2
Developing,72.2,11.0,457,2.84,14.23064496,88962,21.2,558,86.0,4.56,86.0,0.1,153.1824,127185.0,5.7,5.0,0.592,9.6
Developing,67.8,183.0,24,1.59,34.41887163,75,37.0,29,99.0,5.11,99.0,0.3,465.1198869,2586435.0,3.2,3.2,0.613,11.6
Developing,66.6,16.0,9,0.65,35.09462644,210,42.1,11,75.0,4.67,76.0,0.1,655.974326,8486.0,3.2,3.1,0.636,10.1
Developing,55.3,35.0,23,4.33,15.99415192,173,15.2,35,89.0,7.86,92.0,2.9,196.2472628,8212264.0,7.9,7.9,0.319,7.9
Developing,74.2,98.0,307,3.28,29.74342979,99602,24.9,360,94.0,4.52,93.0,0.1,299.229676,13112.0,4.8,4.3,0.646,11.0
Developing,87.0,79.0,0,8.97,6115.496624,2,61.4,0,98.0,9.55,98.0,0.1,49638.7713,5438972.0,0.9,0.8,0.887,17.0
Developed,78.0,221.0,0,12.12,170.9884138,0,57.7,0,94.0,7.1,94.0,0.1,1444.1589,22325.0,2.4,2.4,0.814,16.2
Developing,85.0,75.0,2,8.2,771.1817686,13,61.9,2,95.0,9.75,95.0,0.1,4386.69948,325755.0,0.5,0.4,0.891,15.8
Developing,74.2,151.0,8,3.54,18.09317114,0,47.2,9,89.0,5.87,92.0,0.3,321.942547,13735233.0,1.4,1.3,0.688,12.8
Developing,44.0,67.0,46,1.1,3.885394742,92,14.8,75,79.0,4.82,64.0,24.7,29.9798977,1213711.0,7.7,7.6,0.388,10.4
Developing,67.7,273.0,5,9.46,456.4586664,48,57.6,6,91.0,6.63,9.0,0.4,3891.37823,462582.0,2.5,2.6,0.73,14.9
Developing,63.1,245.0,14,0.01,5.103249438,0,48.8,19,55.0,7.56,48.0,0.5,83.1148117,1572466.0,3.9,3.9,0.487,9.1
Developed,77.6,11.0,1,11.21,287.2084529,0,58.1,1,96.0,8.12,95.0,0.1,2327.4591,125125.0,0.8,0.8,0.869,18.0
Developing,64.4,284.0,8,5.75,12.60883976,94,44.4,10,95.0,3.47,95.0,0.1,149.926751,14858335.0,2.6,2.7,0.685,12.3
Developing,73.0,189.0,0,17.87,1904.12469,1,56.3,0,95.0,5.16,95.0,0.1,16586.452,13468.0,2.0,2.1,0.829,16.1
Developing,75.3,138.0,1,3.65,37.17108782,0,52.0,1,96.0,5.66,96.0,0.5,521.33363,284992.0,1.8,1.7,0.725,12.8
Developing,53.7,497.0,55,6.96,622.043809,830,42.9,83,73.0,7.93,74.0,29.7,4863.51688,4717.99,12.6,15.0,0.611,12.9
Developed,72.0,24.0,0,13.4,1581.511914,0,59.0,0,95.0,6.22,95.0,0.1,12297.91535,3231294.0,2.9,3.0,0.812,16.4
Developing,65.9,221.0,0,7.52,48.02859441,0,42.4,1,95.0,6.6,95.0,0.4,326.281212,746556.0,5.6,5.3,0.618,10.2
Developing,67.3,218.0,66,4.45,13.39905105,3025,19.6,86,85.0,3.23,88.0,0.1,179.3715,84678493.0,1.0,9.7,0.636,11.6
Developing,64.0,221.0,7,2.35,106.180706,9,38.1,9,94.0,3.87,95.0,0.1,774.4763388,45648.0,3.6,3.5,0.0,10.2
Developing,67.7,221.0,17,2.63,238.7369808,0,4.4,21,8.0,5.25,81.0,0.2,1655.596261,1165743.0,1.6,1.6,0.539,8.2
Developed,81.1,67.0,0,6.53,277.3550522,39,59.4,0,94.0,9.14,94.0,0.1,1574.9861,495388.0,0.7,0.7,0.939,17.6
Developing,53.3,313.0,48,4.88,8.769989329,253,14.2,89,94.0,6.87,82.0,2.3,46.998871,1342193.0,1.3,9.8,0.0,4.3
Developed,85.0,67.0,0,6.6,14829.41215,0,57.5,0,93.0,8.58,93.0,0.1,85128.65759,479153.0,0.7,0.7,0.934,17.6
Developing,60.0,266.0,2,0.24,69.9675435,912,19.2,2,67.0,4.32,68.0,0.1,621.93372,611627.0,7.5,7.4,0.434,9.7
Developing,53.8,498.0,55,8.69,709.3170967,615,43.6,84,75.0,7.77,79.0,29.5,5414.634326,476667.24,11.6,13.9,0.609,12.9
Developing,74.5,147.0,3,3.39,321.6132593,0,5.9,3,99.0,6.39,98.0,0.1,1682.957924,58782.0,1.8,1.8,0.62,11.5
Developing,67.9,189.0,143,0.08,125.7980678,20818,22.1,174,85.0,2.83,78.0,0.3,2254.44566,23934478.0,1.7,1.6,0.645,11.7
Developing,58.0,437.0,15,0.01,53.43964323,210,22.1,22,47.0,4.2,47.0,4.5,377.132274,4515392.0,8.4,8.3,0.345,7.1
Developing,56.7,287.0,4,3.21,53.30782696,26,23.1,7,82.0,6.7,83.0,5.9,543.957418,155588.0,8.0,7.9,0.405,8.9
Developing,75.3,122.0,1,9.16,880.6403367,1,58.9,1,97.0,1.12,95.0,0.1,6353.826383,7164132.0,2.1,2.1,0.766,14.1
Developed,79.9,75.0,1,9.53,3064.301144,141,59.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7,0.7,0.899,20.5
Developing,71.1,13.0,5,1.98,246.5686008,0,48.0,6,85.0,5.33,81.0,0.1,5842.85784,954332.0,2.8,2.9,0.737,11.7
Developing,74.5,149.0,3,2.87,345.3776344,0,5.2,4,97.0,8.72,97.0,0.3,2242.711912,889216.0,2.1,2.1,0.618,11.4
Developing,63.5,238.0,6,2.86,186.1013972,1,4.0,8,98.0,4.3,97.0,0.1,1453.917166,473398.0,3.4,3.4,0.0,10.3
Developing,66.8,193.0,1100,3.0,64.6059005,33634,16.4,1500,79.0,4.33,82.0,0.2,1461.671957,124723629.0,26.9,27.7,0.58,10.8
Developed,81.0,58.0,0,7.67,343.123395,0,68.4,0,99.0,9.95,99.0,0.1,2193.8836,419455.0,0.8,0.7,0.821,14.1
Developed,81.9,7.0,3,7.83,578.7254273,8286,23.4,5,97.0,8.0,97.0,0.1,3488.3992,127718.0,1.7,1.4,0.863,14.8
Developing,53.3,394.0,58,5.22,0.962497052,196,23.8,91,78.0,4.69,81.0,7.2,12.989164,17899562.0,6.7,6.8,0.456,8.2
Developing,59.2,48.0,43,7.38,1089.954838,32,48.7,56,65.0,8.79,65.0,7.6,7548.163698,5256515.8,6.0,7.3,0.644,12.8
Developing,86.0,92.0,3,12.4,5689.991931,40,58.0,4,99.0,1.53,99.0,0.1,36544.5853,63621376.0,0.6,0.6,0.87,16.1
Developed,81.7,58.0,0,7.4,11477.6671,26,57.7,0,98.0,11.7,98.0,0.1,59593.28711,9449213.0,1.4,1.3,0.901,16.0
Developed,82.3,57.0,0,10.01,2198.590865,77,55.4,0,96.0,11.7,95.0,0.1,74276.71842,782499.0,0.5,0.4,0.92,15.4
Developed,71.6,22.0,0,11.29,80.99710054,1,57.8,0,91.0,6.46,94.0,0.1,555.535669,3415213.0,3.2,3.2,0.78,15.8
Developing,55.6,283.0,25,1.23,40.48815233,1588,19.2,40,76.0,4.27,75.0,2.1,418.6985763,7295394.0,9.3,9.2,0.407,7.3
Developed,86.0,79.0,0,10.0,2698.01817,1,6.2,0,98.0,9.55,98.0,0.1,21618.73534,1457295.0,0.7,0.5,0.827,16.3
Developing,65.8,22.0,0,0.01,137.2591943,0,76.7,0,91.0,1.15,95.0,0.1,1724.361737,18535.0,0.1,0.1,0.589,11.9
Developing,73.0,14.0,118,0.01,62.34988484,5625,15.8,150,96.0,3.16,96.0,0.1,835.789341,153911916.0,18.7,19.2,0.545,9.4
Developed,74.7,142.0,3,9.06,542.0235,48,54.5,3,98.0,6.22,99.0,0.1,5693.52416,382457.0,2.4,2.6,0.796,15.3
Developed,84.0,7.0,0,6.47,12829.25408,0,57.0,0,94.0,8.43,94.0,0.1,74114.69715,466677.0,0.8,0.7,0.931,17.5
Developing,68.8,164.0,10,0.01,71.50892145,16,38.2,12,96.0,6.39,94.0,0.2,954.725253,799562.0,3.6,3.7,0.613,11.1
Developing,48.9,418.0,26,3.78,54.6659175,1865,22.2,38,88.0,11.98,89.0,1.3,445.525,6611692.0,8.1,8.0,0.392,8.9
Developing,73.1,138.0,3,0.48,264.2496129,632,28.8,4,96.0,3.95,96.0,0.1,4463.675893,2468873.0,9.3,9.1,0.724,12.1
Developing,72.8,121.0,4,0.59,313.3626015,1,58.6,4,98.0,8.8,98.0,0.1,2537.349,5934232.0,3.9,3.8,0.733,13.7
Developed,76.7,128.0,2,10.93,250.0773782,0,59.1,2,96.0,6.7,99.0,0.1,13893.18768,3863255.0,2.0,2.2,0.829,15.4
Developing,74.4,12.0,1,8.65,106.164686,44,49.9,1,88.0,8.17,98.0,0.1,2492.12878,482.0,2.7,2.9,0.722,12.5
Developing,68.0,178.0,23,0.24,84.62302524,190,16.4,30,83.0,6.43,82.0,0.2,592.1835216,2723137.0,16.7,17.2,0.515,11.1
Developing,64.4,282.0,8,6.58,23.43400762,24,45.3,9,99.0,3.7,99.0,0.1,268.123657,149918.0,2.5,2.6,0.714,13.1
Developed,82.3,54.0,0,7.3,1142.212403,26,59.0,0,98.0,11.93,98.0,0.1,5918.19898,969611.0,1.5,1.3,0.906,15.8
Developed,78.7,94.0,0,12.57,333.3569124,0,55.7,0,96.0,9.62,97.0,0.1,2278.5845,1542964.0,0.7,0.5,0.797,15.4
Developing,66.6,258.0,8,7.6,708.3285785,20,47.9,9,99.0,3.65,99.0,0.1,8513.564645,15674.0,2.4,2.5,0.758,14.6
Developing,57.3,291.0,85,0.02,1.388647732,1296,14.2,118,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9
Developed,83.2,51.0,0,9.61,19479.91161,23,57.0,0,96.0,11.66,96.0,0.1,85814.58857,8188649.0,0.4,0.3,0.936,15.9
Developing,52.8,296.0,58,0.49,57.11644801,172,17.5,103,7.0,6.28,69.0,2.0,439.3572924,1239196.0,1.1,1.0,0.333,5.5
Developed,72.2,157.0,1,10.96,384.1473028,0,59.1,1,94.0,7.9,95.0,0.1,3381.57837,771686.0,2.3,2.3,0.738,13.3
Developing,65.9,218.0,0,7.56,345.9044258,0,45.0,1,98.0,5.1,98.0,0.3,3944.178173,75881.0,5.5,5.3,0.633,10.3
Developing,73.8,132.0,3,0.47,438.4519214,334,33.4,4,97.0,3.47,97.0,0.1,8513.629541,2711169.0,8.5,8.3,0.747,12.5
Developing,57.5,279.0,43,4.55,90.46018236,2511,16.6,74,9.0,7.17,91.0,1.0,575.4464527,1565217.0,9.0,8.6,0.365,6.3
Developed,79.7,77.0,0,11.41,7620.823456,164,58.2,0,94.0,9.53,94.0,0.1,51983.78892,4535375.0,0.3,0.2,0.909,17.9
Developing,80.0,78.0,0,9.08,372.6854142,2,63.1,0,99.0,9.76,99.0,0.1,2971.973,111717.0,0.8,0.7,0.857,16.2
Developing,71.2,211.0,0,11.48,7.806042825,0,54.6,0,94.0,4.84,94.0,0.1,538.347781,137935.0,2.3,2.4,0.791,15.4
Developing,57.8,272.0,52,0.01,46.56231672,290,23.2,85,74.0,6.86,73.0,1.6,825.5729915,16962846.0,7.9,7.7,0.43,8.2
Developing,79.8,86.0,2,7.26,211.614293,6,61.2,2,93.0,7.0,94.0,0.1,1475.69242,17153357.0,0.8,0.8,0.82,15.4
Developing,73.0,14.0,6,1.02,176.0107106,0,45.9,7,81.0,5.1,79.0,0.1,3851.437869,85813.0,2.8,2.9,0.708,11.6
Developed,75.5,14.0,2,11.4,15.71474837,0,57.2,3,96.0,6.88,99.0,0.1,141.44688,38125759.0,2.2,2.3,0.813,15.0
